127.0.0.1 - - [05/Oct/2021:10:42:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/book_info.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/css/common.css HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/css/header.css HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/css/book_info.css HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/css/footer.css HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/script/index-crawler.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/script/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/script/custom.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/images/search.png HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/images/book4.jpg HTTP/1.1" 200 156212
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/images/kyobo.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/images/aladin.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/images/interpark.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/images/facebook.png HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/images/kakao-talk.png HTTP/1.1" 200 23163
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:42:40 +0900] "GET /BookRecommend/images/twitter.png HTTP/1.1" 200 13575
